episode,reward,epsilon,loss
0,12.0,0.98,
1,20.0,0.9603999999999999,
2,68.0,0.9411919999999999,
3,15.0,0.9223681599999999,
4,13.0,0.9039207967999998,
5,12.0,0.8858423808639998,
6,24.0,0.8681255332467198,
7,13.0,0.8507630225817854,
8,16.0,0.8337477621301497,
9,20.0,0.8170728068875467,
10,11.0,0.8007313507497957,
11,12.0,0.7847167237347998,
12,19.0,0.7690223892601038,
13,12.0,0.7536419414749017,
14,26.0,0.7385691026454037,
15,15.0,0.7237977205924956,0.9657142029868232
16,22.0,0.7093217661806457,0.40880693969401444
17,19.0,0.6951353308570327,0.07304880395531654
18,14.0,0.6812326242398921,0.04040164566997971
19,23.0,0.6676079717550942,0.021058951787974522
