episode,reward,steps,epsilon
0,-1.2000000000000006,60,0.98
1,0.03999999999999948,49,0.9603999999999999
2,-1.2000000000000006,60,0.9411919999999999
3,-1.2000000000000006,60,0.9223681599999999
4,0.23999999999999966,39,0.9039207967999998
5,-1.2000000000000006,60,0.8858423808639998
6,-1.2000000000000006,60,0.8681255332467198
7,-0.1600000000000006,59,0.8507630225817854
8,-0.08000000000000052,55,0.8337477621301497
9,0.23999999999999966,39,0.8170728068875467
10,0.11999999999999955,45,0.8007313507497957
11,0.78,12,0.7847167237347998
12,-1.2000000000000006,60,0.7690223892601038
13,0.6799999999999999,17,0.7536419414749017
14,-1.2000000000000006,60,0.7385691026454037
15,0.7,16,0.7237977205924956
16,0.1599999999999996,43,0.7093217661806457
17,0.4999999999999999,26,0.6951353308570327
18,0.72,15,0.6812326242398921
19,0.5999999999999999,21,0.6676079717550942
20,0.5199999999999998,25,0.6542558123199923
21,0.72,15,0.6411706960735924
22,0.6199999999999999,20,0.6283472821521205
23,0.13999999999999957,44,0.6157803365090782
24,0.6799999999999999,17,0.6034647297788965
25,0.78,12,0.5913954351833186
26,0.8200000000000001,10,0.5795675264796523
27,0.78,12,0.5679761759500592
28,0.3799999999999998,32,0.5566166524310581
29,0.74,14,0.5454843193824369
30,0.8200000000000001,10,0.5345746329947881
31,0.76,13,0.5238831403348924
32,0.47999999999999987,27,0.5134054775281945
33,0.6599999999999999,18,0.5031373679776306
34,0.84,9,0.493074620618078
35,0.8,11,0.48321312820571644
36,0.72,15,0.4735488656416021
37,0.45999999999999985,28,0.46407788832877006
38,0.84,9,0.45479633056219465
39,0.45999999999999985,28,0.44570040395095073
40,0.8200000000000001,10,0.4367863958719317
41,0.84,9,0.42805066795449304
42,0.47999999999999987,27,0.41948965459540316
43,0.78,12,0.4110998615034951
44,0.76,13,0.4028778642734252
45,0.4199999999999998,30,0.39482030698795667
46,0.72,15,0.38692390084819756
47,0.8,11,0.3791854228312336
48,0.84,9,0.37160171437460887
49,0.8200000000000001,10,0.3641696800871167
50,0.8,11,0.35688628648537435
51,0.8,11,0.34974856075566685
52,0.6199999999999999,20,0.3427535895405535
53,0.76,13,0.33589851774974244
54,0.6399999999999999,19,0.3291805473947476
55,0.8200000000000001,10,0.32259693644685267
56,0.72,15,0.3161449977179156
57,0.78,12,0.3098220977635573
58,0.76,13,0.30362565580828615
59,0.6399999999999999,19,0.2975531426921204
60,0.84,9,0.291602079838278
61,0.8,11,0.2857700382415124
62,0.7,16,0.2800546374766822
63,0.8200000000000001,10,0.27445354472714856
64,0.8,11,0.2689644738326056
65,0.72,15,0.26358518435595346
66,0.8,11,0.25831348066883436
67,0.7,16,0.2531472110554577
68,0.84,9,0.24808426683434853
69,0.8200000000000001,10,0.24312258149766156
70,0.84,9,0.2382601298677083
71,0.8,11,0.23349492727035415
72,0.8200000000000001,10,0.22882502872494706
73,0.84,9,0.22424852815044813
74,0.86,8,0.21976355758743915
75,0.78,12,0.21536828643569036
76,0.86,8,0.21106092070697655
77,0.84,9,0.20683970229283702
78,0.8200000000000001,10,0.20270290824698028
79,0.86,8,0.19864885008204067
80,0.84,9,0.19467587308039985
81,0.84,9,0.19078235561879187
82,0.8200000000000001,10,0.18696670850641603
83,0.8,11,0.18322737433628772
84,0.8,11,0.17956282684956196
85,0.8200000000000001,10,0.1759715703125707
86,0.8200000000000001,10,0.1724521389063193
87,0.86,8,0.16900309612819292
88,0.8200000000000001,10,0.16562303420562907
89,0.78,12,0.16231057352151648
90,0.8200000000000001,10,0.15906436205108615
91,0.78,12,0.15588307481006441
92,0.8200000000000001,10,0.15276541331386312
93,0.86,8,0.14971010504758586
94,0.8200000000000001,10,0.14671590294663414
95,0.86,8,0.14378158488770146
96,0.8200000000000001,10,0.14090595318994742
97,0.84,9,0.13808783412614847
98,0.86,8,0.13532607744362551
99,0.8200000000000001,10,0.132619555894753
100,0.8,11,0.12996716477685794
101,0.8200000000000001,10,0.12736782148132078
102,0.84,9,0.12482046505169436
103,0.8200000000000001,10,0.12232405575066048
104,0.86,8,0.11987757463564727
105,0.86,8,0.11748002314293432
106,0.86,8,0.11513042268007563
107,0.84,9,0.11282781422647412
108,0.8,11,0.11057125794194463
109,0.86,8,0.10835983278310574
110,0.86,8,0.10619263612744362
111,0.8200000000000001,10,0.10406878340489474
112,0.86,8,0.10198740773679685
113,0.86,8,0.09994765958206091
114,0.8200000000000001,10,0.0979487063904197
115,0.86,8,0.0959897322626113
116,0.8200000000000001,10,0.09406993761735907
117,0.86,8,0.0921885388650119
118,0.86,8,0.09034476808771166
119,0.8200000000000001,10,0.08853787272595742
